System,MAP,MRR,NDCG@5,NDCG@10,NDCG@20,Precision@5,Precision@10,Precision@20,Recall@5,Recall@10,Recall@20,F1@5,F1@10,F1@20,Retrieval Time
BM25,0.3904349206349207,0.824547619047619,0.4865886233069912,0.49016325947028067,0.4931760620578871,0.18599999999999994,0.09499999999999999,0.04849999999999999,0.43083333333333335,0.43833333333333335,0.44833333333333336,0.2431746031746032,0.14909590409590406,0.0851338226990401,0.022867264747619628
Dense Retriever,0.03366395154553049,0.07572472848788638,0.04356601157715101,0.04888200659893382,0.05389416908022322,0.018000000000000002,0.012000000000000002,0.008,0.051500000000000004,0.066,0.08133333333333333,0.0247936507936508,0.01912987012987013,0.014091210239036327,1.8723621797561645
BM25 + Reranker,0.4020805555555556,0.836111111111111,0.5013952004815468,0.5056689768554457,0.5056689768554457,0.18999999999999997,0.09799999999999999,0.048999999999999995,0.44500000000000006,0.45533333333333337,0.45533333333333337,0.24908730158730158,0.15391408591408592,0.08597711274233015,18.257291917800902
Dense + Reranker,0.16273863636363636,0.3145833333333333,0.19387872227094852,0.19581298630712124,0.1967590497741879,0.068,0.035,0.018000000000000002,0.16933333333333334,0.17433333333333334,0.17633333333333334,0.08933333333333335,0.0550889110889111,0.031522416713721066,20.03822039604187
