temperature,top_p,avg_BLEU,avg_BERTScore
0.1,0.5,0.06191320428348823,0.862384420633316
0.1,0.7,0.07323985456460144,0.8664299786090851
0.1,0.9,0.08854733505357269,0.8717414081096649
0.3,0.5,0.0697315104716553,0.8640567064285278
0.3,0.7,0.08123248363812444,0.8702329993247986
0.3,0.9,0.06635765374841165,0.8696839332580566
0.5,0.5,0.062441678980951064,0.8646176040172577
0.5,0.7,0.07776356763721651,0.8713838279247283
0.5,0.9,0.09155257877626405,0.8723451256752014
0.7,0.5,0.07598960575542543,0.8681011199951172
0.7,0.7,0.06560728365766626,0.8665526270866394
0.7,0.9,0.08016265325526269,0.8714684963226318
